time,valence,comfort,saccade,frown,mouth_open,jaw,happy,surprise,neutral,sad,angry,fear,disgust
6.8,1.0,0.8781614568918432,0.12573967917573442,0.14329651186866763,0.7176928659509245,0.9405968254441839,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.0,0.9000712625357401,0.051605541920464015,0.15787471644958975,0.7339358223419626,0.9379562477308068,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,1.0,0.9290144508980354,0.01912520619499678,0.18661922702811323,0.7271867639554762,0.9308362011098855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,1.0,0.9068152850216207,0.06090737508644029,0.16393652006421194,0.726082151881429,0.9357241693226512,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,1.0,0.91640330522139,0.05517245711621909,0.14608080486750982,0.7196684221602783,0.9352959613851496,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,1.0,0.9186492917880755,0.00866457440933169,0.17646053514376606,0.7526960197094354,0.9356817199608171,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,0.9030348624790696,0.07299611830260606,0.1857671449802136,0.7374423587473516,0.9355069953554106,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,1.0,0.8966893303705421,0.04945384494504156,0.1729372996220565,0.749174310061271,0.9386521898575906,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,1.0,0.8586288144533731,0.06563392142572529,0.1646515972185178,0.7355365994547647,0.9432346742700144,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,1.0,0.9998768427734174,0.09763310451822128,0.17943133157840374,0.9990290641948038,0.9488681593999916,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,1.0,0.8100361372349054,0.7277632998476181,0.15875243167112954,0.7782295526518352,0.954689331351221,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.38,0.7214946618962099,0.11308471579728792,0.10899844163562804,0.08034990711699434,0.9014041634895025,0.47,0.0,0.44,0.03,0.03,0.03,0.0
9.2,-0.63,0.5931631231934106,0.6649504756468236,0.29060063785058937,0.029430021687115896,0.898392153860077,0.02,0.0,0.33,0.46,0.14,0.05,0.0
9.4,-0.11000000000000001,0.5767550201037847,0.5213446011362344,0.2886401420183887,0.1409639773560594,0.9119609407654858,0.21,0.0,0.46,0.08,0.18,0.06,0.0
9.6,0.6100000000000001,0.9196639816701044,0.19434169190169198,0.32217805606761746,0.7844080971099676,0.9262141478280378,0.79,0.0,0.02,0.06,0.11,0.01,0.0
9.8,-0.55,0.7330712758463108,0.4301087515836341,0.22495319625566507,0.5500376372287042,0.9367971527454401,0.06,0.01,0.31,0.21,0.26,0.14,0.01
10.0,0.25,0.8925126221000287,0.44814653723712766,0.22017128351797097,0.5502333720605066,0.9152985218396925,0.6,0.0,0.04,0.16,0.15,0.04,0.0
10.2,0.6,0.9194583981144299,0.26774100358829167,0.21982744543017743,0.706194582575746,0.9272051130195686,0.76,0.0,0.08,0.04,0.1,0.02,0.0
10.4,-0.20000000000000007,0.5583417883933975,0.2651413111701175,0.1341083449724883,0.4723703594343961,0.9608585880694901,0.17,0.18,0.09,0.14,0.26,0.15,0.0
10.6,-0.6199999999999999,0.6757360614693732,0.33678515481135557,0.10057926994865275,0.24699459787037467,0.925069910119313,0.04,0.0,0.29,0.43,0.15,0.08,0.0
10.8,-0.019999999999999962,0.6899731360715945,0.33141916958345147,0.17997051212738588,0.548320026146532,0.9464105687570923,0.27,0.01,0.43,0.05,0.2,0.04,0.01
11.0,0.55,0.6298043960653735,0.07281011228039452,0.16585370467198618,0.6411013710693904,0.9651666676786291,0.67,0.02,0.17,0.03,0.09,0.02,0.0
11.2,0.88,0.5597659918997325,0.36696154971647477,0.23071270520184153,0.7032691813686538,0.9754485095343047,0.91,0.01,0.03,0.02,0.01,0.01,0.0
11.4,0.98,0.3336461271516656,1.0,0.6586461644883403,0.49577356909113335,0.94911603335213,0.98,0.0,0.01,0.0,0.0,0.0,0.0
11.6,0.99,0.3305204854781262,0.1635137088899676,0.532005028167985,0.4138410927526675,0.9522201429362491,0.99,0.0,0.01,0.0,0.0,0.0,0.0
11.8,0.95,0.14725624907180823,0.05595078232802547,0.5413593687415557,0.11643794773394446,0.9469073020929832,0.95,0.0,0.04,0.0,0.0,0.0,0.0
12.0,0.65,0.0,0.1641993075778883,0.5767578976360423,0.04415868844917168,0.9591562170550787,0.65,0.01,0.33,0.0,0.01,0.0,0.0
12.2,0.99,0.33489561219379466,0.06827180825752263,0.573417629939971,0.6707134716698108,0.9737325698845928,0.98,0.01,0.01,0.0,0.0,0.0,0.0
12.4,1.0,0.39096149968408767,0.048322375069794275,0.5945756050235539,0.7088347268186611,0.9680161568941754,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12.6,1.0,0.44770917499842733,0.07172042785823701,0.5443133710279463,0.7460804858593723,0.9682434125848516,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12.8,1.0,0.48556631200931244,0.12370273065258712,0.49811620481064833,0.8100174962662443,0.9733869865978041,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.0,0.7717672819503235,0.30931727632621353,0.20081735351712993,0.7869723751390059,0.9572186310946472,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13.2,1.0,0.5931223371796843,0.571131300943155,0.9837605447915622,0.6577600743124737,0.9017333734510123,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13.4,0.71,0.07421952173493564,0.29387931205574863,1.0,0.33455027798139425,0.9210428301250295,0.76,0.01,0.17,0.03,0.02,0.01,0.0
13.6,-0.05,0.00021715796497523125,0.03080294599449865,1.0,0.048704591984673806,0.9074484978000883,0.1,0.01,0.73,0.06,0.07,0.03,0.0
13.8,0.47,0.08174178545570203,0.4294469198376092,1.0,0.008123754181935373,0.892953784189673,0.57,0.0,0.32,0.06,0.03,0.01,0.0
14.0,0.99,0.11828219561804443,0.45832443167032705,1.0,0.7486569024826308,0.9621619350826609,0.99,0.0,0.01,0.0,0.0,0.0,0.0
14.2,-0.10999999999999996,0.0,0.047178299460447805,1.0,0.14980846056982505,0.9353508423458066,0.2,0.03,0.44,0.17,0.09,0.07,0.01
